test name,channel id,start,duration [s],f_min [Hz],f_max [Hz],windows,gain [dB],phase [°],normalized error,temperature [°C],f_max [Hz] 
LoopBack_PreAmp_26.0,.3037..HHZ,2020-02-19 18:01:50,292.975,0.2,20.0,116,11.01,-0.4,1.6e-06,-20.2,20.0
LoopBack_PreAmp_-0.1,.3037..HHZ,2020-02-19 21:32:19,292.975,0.2,20.0,116,11.01,-0.4,1.7e-06,-17.1,20.0
LoopBack_PreAmp_21.0,.3037..HHZ,2020-02-19 22:02:41,293.975,0.2,20.0,116,11.01,-0.4,1.6e-06,-16.1,20.0
LoopBack_PreAmp_1.1,.3037..HHZ,2020-02-20 21:49:37,292.975,0.2,20.0,116,11.01,-0.4,2e-06,0.4,20.0
LoopBack_PreAmp_17.7,.3037..HHZ,2020-02-20 22:07:58,293.975,0.2,20.0,116,11.01,-0.4,1.9e-06,0.1,20.0
LoopBack_PreAmp_24.4,.3037..HHZ,2020-02-21 16:00:05,168.975,0.2,20.0,66,11.01,-0.4,9.6e-07,,20.0
LoopBack_PreAmp_28.7,.3037..HHZ,2020-02-21 16:04:08,289.975,0.2,20.0,115,11.01,-0.4,1.1e-06,,20.0
