year,station_code,channel id,start,duration [s],f_min [Hz],f_max [Hz],windows,gain [dB],phase [°],normalized error,temperature [°C],f_max [Hz] ,gain,delta_t,findpeaks_calib,sensor_model,sensor_id,Kg,Rg,CDR,Rd,Km,M,Rm,f0,lambda_x,preamp_model,preamp_id,Kp,Kc,Rp,digitizer_model,digitizer_id,Si,Kd,So,Rc,Sg,lambda0,Sd,kappa_g,kappa_c,NCALPER,NCALIB0,gain0,NCALIB,gain_expected,findpeaks_room,gain_room,findpeaks_deviation,findpeaks_room_deviation,gain_deviation,gain_room_deviation,findpeaks_drift,findpeaks_room_drift,gain_drift,gain_room_drift
2015,YKAR2,.3076..HHZ,2015-11-23 17:05:05,287.675,0.2,20.0,114.0,-10.32,-72.0,8.9e-06,-22.7,20.0,0.304789498963,-22.7,0.003375,S-13,832,628.26,3591,6355,6355,0.1975,5.0,23.0,1,0.0112,MAN-ELP-0110,G18332,40.0,8.692,200.0,CMG-DM24,A3076,2.867e-06,2.0,4.24e-07,25.6557754257,401.426935451,0.638950331792,697593.303104,-0.00161892519606,-0.00222426151893,0.25,0.0035521503226,0.290942221878,0.00352524020478,0.293163145564,0.003545845875,0.289360749736,4.26184305335,-0.584518189442,3.96583048546,-1.29702381955,0.0,0.0,0.0,0.0
2015,YKAR3,.3073..HHZ,2015-11-23 17:28:49,154.0,0.2,20.0,60.0,-11.63,-72.6,1.1e-06,-22.7,20.0,0.262119903864,-22.7,0.003827,S-13,822,619.92,3790,6255,6255,0.1975,5.0,23.0,1,0.0219,MAN-ELP-0110,G18334,40.0,8.692,200.0,CMG-DM24,A3073,2.867e-06,2.0,4.24e-07,25.6557754257,386.022857143,0.622697859632,697593.303104,-0.00168279741165,-0.00228813373452,0.25,0.0036938973739,0.279777807203,0.0036563194702,0.282653229764,0.004020726567,0.24885113221,-4.66809673475,-9.96650045955,-7.26449364046,-11.9588577079,0.0,0.0,0.0,0.0
2015,YKAR4,.3081..HHZ,2015-11-23 17:57:07,167.675,0.2,20.0,66.0,-10.43,107.6,1.9e-05,-22.7,20.0,0.300953916887,-22.7,0.00341,S-13,2474,626.6,3619,6407,6407,0.1975,5.0,23.0,1,0.0244,MAN-ELP-0110,G18333,40.0,8.692,200.0,CMG-DM24,A3081,2.864e-06,2.0,4.24e-07,25.6557754257,400.421524038,0.6390384999,698324.022346,-0.00161857869539,-0.00222391501826,0.25,0.00355734308763,0.290517524412,0.00353044344879,0.292731075371,0.00358261761,0.285719328661,3.41156714559,-1.47783591394,2.8090087483,-2.39528608355,0.0,0.0,0.0,0.0
2015,YKAR5,.3077..HHZ,2015-11-23 18:15:49,288.375,0.2,20.0,114.0,-10.81,107.6,1.6e-05,-21.0,20.0,0.288071304978,-21.0,0.003557,S-13,2349,615.83,3762,6164,6164,0.1975,5.0,23.0,1,0.0205,MAN-ELP-0110,G18325,40.0,8.692,200.0,CMG-DM24,A3077,2.869e-06,2.0,4.24e-07,25.6557754257,382.427576063,0.620995365706,697107.005925,-0.00168948821277,-0.00229482453564,0.25,0.00373122553386,0.276978836557,0.00369226557105,0.279901455466,0.00372357431,0.274580925765,3.66348434167,-0.84795468661,2.91883066427,-1.90085817574,0.0,0.0,0.0,0.0
2015,YKAR6,.3038..HHZ,2015-11-23 18:35:51,292.975,0.2,20.0,116.0,-10.5,-72.3,1.4e-05,-21.0,20.0,0.298538261892,-21.0,0.003388,S-13,2350,616.95,3661,6211,6211,0.1975,5.0,23.0,1,0.0244,MAN-ELP-0110,G18324,40.0,8.692,200.0,CMG-DM24,A3038,2.875e-06,2.0,4.24e-07,25.6557754257,388.156042342,0.629153160454,695652.173913,-0.00165742807942,-0.00226276440229,0.25,0.00368384756608,0.280541061693,0.00365014897548,0.28313104869,0.00354666004,0.284557715087,7.18187058229,2.83519758166,5.44172505035,0.503889066238,0.0,0.0,0.0,0.0
2015,YKAR7,.3074..HHZ,2015-11-23 18:52:26,292.375,0.2,20.0,115.0,-10.37,-71.9,1e-05,-21.0,20.0,0.303040029779,-21.0,0.003397,S-13,2911,618.86,3577,6252,6252,0.1975,5.0,23.0,1,0.0248,MAN-ELP-0110,G18329,40.0,8.692,200.0,CMG-DM24,A3074,2.866e-06,2.0,4.24e-07,25.6557754257,393.642559772,0.636076915251,697836.706211,-0.00163021772306,-0.00223555404593,0.25,0.00362113146478,0.285399886017,0.00359202015938,0.287712891756,0.00355608151,0.288848665184,5.42926127168,1.00051357703,5.32723366317,0.394759310728,0.0,0.0,0.0,0.0
2015,YKAR8,.2165..HHZ,2015-11-23 19:03:02,292.375,0.2,20.0,115.0,-11.29,-72.6,1.3e-05,-19.8,20.0,0.272583773893,-19.8,0.003788,S-13,1466,600.25,3720,5860,5860,0.1975,5.0,23.0,1,0.0211,MAN-ELP-0110,G18330,40.0,8.692,200.0,CMG-DM24,A2165,2.865e-06,2.0,4.24e-07,25.6557754257,367.167536534,0.611691022965,698080.279232,-0.00172605427975,-0.00233139060262,0.25,0.00388088258924,0.266297803022,0.00383471709759,0.26950371592,0.003955255352,0.26054810994,1.21826712127,-3.14334151226,1.14286289623,-3.32299907209,0.0,0.0,0.0,0.0
2015,YKAR9,.3291..HHZ,2015-11-23 19:13:41,292.975,0.2,20.0,116.0,-10.7,-72.1,1.6e-05,-19.8,20.0,0.2917427014,-19.8,0.003515,S-13,954,609.74,3688,6046,6046,0.1975,5.0,23.0,1,0.021,MAN-ELP-0110,G18322,40.0,8.692,200.0,CMG-DM24,A3291,2.866e-06,2.0,4.24e-07,25.6557754257,378.722831313,0.62112184097,697836.706211,-0.00168899116499,-0.00229432748786,0.25,0.00376378538924,0.274582740625,0.0037245646297,0.277474177535,0.00367020131,0.278861094162,5.62655371939,1.45958857232,5.14228891212,0.499836287492,0.0,0.0,0.0,0.0
2016,YKAB0,.3292..HHZ,2016-11-14 20:53:46,286.975,0.2,20.0,113.0,-11.1,-73.7,1.5e-05,-4.0,20.0,0.278612116863,-4.0,0.0037163,S-13,2340,618.3,3754,6132,6132,0.1975,5.0,23.0,1,0.0075,MAN-ELP-0110,G18331,40.0,8.692,200.0,CMG-DM24,A3292,2.868e-06,2.0,4.24e-07,25.6557754257,383.513615213,0.620271090431,697350.069735,-0.00169233461461,-0.00229767093748,0.25,0.00371936254901,0.277862266365,0.0036801049763,0.280826366084,0.003749449396,0.276126896781,-0.983532370353,-1.8843054791,-0.788476257515,-1.6734430493,-4.00260321238,-0.924054835909,-3.48650790387,-0.15756906114
2016,YKAB1,.3085..HHZ,2016-11-14 19:38:43,292.975,0.2,20.0,116.0,-11.06,107.3,1.6e-05,-4.4,20.0,0.279898131963,-4.4,0.0036737,S-13,2338,605.92,3729,5971,5971,0.1975,5.0,23.0,1,0.0212,MAN-ELP-0110,G18317,40.0,8.692,200.0,CMG-DM24,A3085,2.87e-06,2.0,4.24e-07,25.6557754257,372.984362887,0.615567010309,696864.111498,-0.00171082164948,-0.00231615797235,0.25,0.00382702611125,0.270045324296,0.00378380856865,0.273129702138,0.0037097463444,0.277151771493,2.90999311021,1.9573459626,2.47810098011,1.4725858533,-2.87276689684,0.334653970206,-2.74983912013,0.890880220244
