test name,channel id,start,duration [s],f_min [Hz],f_max [Hz],windows,gain [dB],phase [°],normalized error,temperature [°C],f_max [Hz] 
Indoor_45,.3082..HHZ,2019-05-26 21:40:29.600,293.375,0.2,20.0,116,-11.2578,-73.221,2.1e-05,17.0,20.0
Indoor_46,.3082..HHZ,2019-05-27 02:32:38.000,292.975,0.2,20.0,116,-11.2549,-73.218,2.1e-05,11.4,20.0
Indoor_47,.3082..HHZ,2019-05-27 19:17:45.000,292.975,0.2,20.0,116,-11.2574,-73.222,2.1e-05,9.6,20.0
Indoor_48,.3082..HHZ,2019-05-29 19:20:26.000,293.975,0.2,20.0,116,-11.2584,-73.226,2.1e-05,3.8,20.0
Indoor_49,.3082..HHZ,2019-06-02 20:39:05.000,293.975,0.2,20.0,116,-11.2604,-73.224,2.1e-05,5.9,20.0
Indoor_50,.3082..HHZ,2019-06-03 01:33:14.000,293.975,0.2,20.0,116,-11.2579,-73.222,2.1e-05,4.5,20.0
Indoor_51,.3082..HHZ,2019-06-05 21:17:39.000,293.975,0.2,20.0,116,-11.2579,-73.221,2.1e-05,11.1,20.0
Indoor_52,.3082..HHZ,2019-06-06 19:15:47.000,293.975,0.2,20.0,116,-11.2583,-73.223,2.1e-05,4.8,20.0
Indoor_53,.3082..HHZ,2019-06-24 20:51:07.600,293.375,0.2,20.0,116,-11.2379,-73.188,2.2e-05,18.5,20.0
Indoor_54,.3082..HHZ,2019-06-25 02:18:42.600,293.375,0.2,20.0,116,-11.255,-73.217,2.1e-05,17.9,20.0
