Category,Type,Model,Manufacturer,Physical Location Type,Physical Location,Assigned Locations,Status,Serial Number,No. of Units,Change Date,PO/Contract Number,FRD/Release Number
Seismometer,Feedback,STS-2.5 1500 V/m/s Standard Feedback,G. Streckeisen AG,Station - Site,TLY,TLY (AS087),In Use,90947,1,02-OCT-2019,,
Seismometer,Feedback,CMG-3TB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,TOC4,TORD (PS26),In Use,T3N13,1,07-FEB-2010,,
Seismometer,Feedback,CMG-3VB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,TOB4,TORD (PS26),In Use,V3338,1,03-MAY-2016,,
Seismometer,Feedback,CMG-3TB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,TOC6,TORD (PS26),In Use,T36285,1,04-APR-2017,,
Seismometer,Feedback,CMG-3VB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,TOC3,TORD (PS26),In Use,V3336,1,21-APR-2005,,
Seismometer,Feedback,CMG-3VB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,TOA2,TORD (PS26),In Use,V3333,1,09-MAR-2012,,
Seismometer,Feedback,CMG-3VB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,TOB5,TORD (PS26),In Use,V3331,1,21-APR-2005,,
Seismometer,Feedback,CMG-3TB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,TOC2,TORD (PS26),In Use,T39132,1,04-APR-2017,,
Seismometer,Feedback,CMG-3VB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,TOA3,TORD (PS26),In Use,V3337,1,02-MAR-2012,,
Seismometer,Feedback,CMG-3VB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,TOC7,TORD (PS26),In Use,V3335,1,21-APR-2005,,
Seismometer,Feedback,CMG-3VB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,TOB1,TORD (PS26),In Use,V3330,1,16-APR-2014,,
Seismometer,Feedback,STS-2 1500 V/m/s Low-Power Feedback,G. Streckeisen AG,Station - Site,TSUM,TSUM (AS067),In Use,99427,1,13-OCT-2015,,
Seismometer,Passive,GS-13 Passive,"Geotech Instruments, LLC",Station - Site,TX01,TXAR (PS46),In Use,426,1,20-DEC-2001,,
Seismometer,Passive,GS-13 Passive,"Geotech Instruments, LLC",Station - Site,TX02,TXAR (PS46),In Use,478,1,28-DEC-2010,,
Seismometer,Passive,GS-13 Passive,"Geotech Instruments, LLC",Station - Site,TX03,TXAR (PS46),In Use,428,1,20-DEC-2001,,
Seismometer,Passive,GS-13 Passive,"Geotech Instruments, LLC",Station - Site,TX04,TXAR (PS46),In Use,429,1,20-DEC-2001,,
Seismometer,Passive,GS-13 Passive,"Geotech Instruments, LLC",Station - Site,TX06,TXAR (PS46),In Use,430,1,20-DEC-2001,,
Seismometer,Passive,GS-13 Passive,"Geotech Instruments, LLC",Station - Site,TX07,TXAR (PS46),In Use,431,1,20-DEC-2001,,
Seismometer,Passive,GS-13 Passive,"Geotech Instruments, LLC",Station - Site,TX08,TXAR (PS46),In Use,432,1,20-DEC-2001,,
Seismometer,Passive,GS-13 Passive,"Geotech Instruments, LLC",Station - Site,TX09,TXAR (PS46),In Use,433,1,20-DEC-2001,,
Seismometer,Passive,GS-13 Passive,"Geotech Instruments, LLC",Station - Site,TX10,TXAR (PS46),In Use,434,1,20-DEC-2001,,
Seismometer,Feedback,CMG-3TB 10000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,TX31,TXAR (PS46),In Use,T35076B,1,19-JAN-2021,,
Seismometer,Feedback,Trillium 120-QA Feedback,"Nanometrics, Inc.",Station - Site,ULM,ULM (PS08),In Use,2498,1,29-AUG-2019,,
Seismometer,Feedback,Trillium T120-BH1 Feedback,"Nanometrics, Inc.",Station - Site,URZ,URZ (AS071),In Use,1073,1,25-MAY-2021,,
Seismometer,Feedback,FBA ES-T Feedback,"Kinemetrics, Inc.",Station - Site,URZ,URZ (AS071),In Use,995,1,19-FEB-2002,,
Seismometer,Feedback,STS-2 1500 V/m/s Low-Power Feedback,G. Streckeisen AG,Station - Site,USHA,USHA (AS002),In Use,110040,1,10-NOV-2003,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,USA0,USRK (PS37),In Use,337,1,31-AUG-2008,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,USA1,USRK (PS37),In Use,343,1,31-AUG-2008,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,USA2,USRK (PS37),In Use,346,1,31-AUG-2008,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,USA3,USRK (PS37),In Use,340,1,31-AUG-2008,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,USB1,USRK (PS37),In Use,336,1,31-AUG-2008,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,USB2,USRK (PS37),In Use,345,1,31-AUG-2008,,
Seismometer,Feedback,CMG-3TB 20000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,USA0B,USRK (PS37),In Use,T3V71,1,31-AUG-2008,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,USB3,USRK (PS37),In Use,338,1,31-AUG-2008,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,USB4,USRK (PS37),In Use,342,1,31-AUG-2008,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,USB5,USRK (PS37),In Use,333,1,31-AUG-2008,,
Seismometer,Feedback,STS-2 1500 V/m/s Standard Feedback,G. Streckeisen AG,Station - Site,VAE,VAE (AS050),In Use,39326,1,07-DEC-2016,,
Seismometer,Feedback,KS54000 Feedback,"Geotech Instruments, LLC",Station - Site,VNDAB,VNDA (PS50),In Use,,1,26-JAN-2004,,
Seismometer,Passive,GS-21 Passive,"Geotech Instruments, LLC",Station - Site,VNDA1,VNDA (PS50),In Use,417,1,08-NOV-2017,,
Seismometer,Feedback,STS-2.5 1500 V/m/s Standard Feedback,G. Streckeisen AG,Station - Site,VRAC,VRAC (AS026),In Use,151230,1,29-MAY-2020,,
Seismometer,Feedback,ENG-3VB 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WB5,WRA (PS02),In Use,V3J44,1,31-MAY-2017,2013-0084,0053
Seismometer,Feedback,CMG-3ESP 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WB9,WRA (PS02),In Use,V3179,1,30-JAN-2003,,
Seismometer,Feedback,3VB 4000 V/m/s Feedback,Guralp Systems Ltd.,Station - Site,WB3,WRA (PS02),In Use,V3J93,1,23-JAN-2020,2013-0084,0107
